WT,pptase,ST,GFP,SpT
325.909241,31.938255,17.390854,4127.365723,192.68808
-170.550278,5058.224609,-35.345554,42477.03125,-2685.632324
-4.665967,402.849213,-29.847317,9633.708984,-54.002388
436.256165,1923.160767,82.765495,16950.35156,-933.351318
-36.940155,3018.703125,-86.727432,21769.36914,-1661.781128
185.43187,1579.693359,-3.411,24021.55664,-365.792908
136.952911,594.112183,53.293747,8732.981445,81.344391
133.494888,431.454956,23.827803,5632.476562,-116.401413
107.735321,266.980377,-94.777542,4422.344238,62.72459
259.355499,1368.729858,6.146828,17321.40625,53.253963
128.616898,801.013245,47.48896,18323.50586,-320.428284
177.062958,1013.556274,65.05909,21510.30664,245.319672
20.494186,111.270027,70.918304,5488.841309,-11.0445
112.284012,54.526089,19.061325,2136.742432,77.627022
-20.512011,877.854126,-66.05529,10710.5293,-227.887344
40.948044,291.301819,16.400867,6536.327148,23.213709
154.209213,218.842987,-63.745083,3540.837646,115.37397
144.142792,236.395294,-24.897158,5985.454102,170.998276
-190.329422,1276.947388,-134.428421,10129.20508,-368.432648
111.762474,330.826904,-28.334459,1364.943726,-103.474312
-148.649246,1299.745239,5.781656,11923.58008,-1039.021606
-140.60788,786.166138,-33.1973,5341.174805,-391.014557
206.000977,1003.382629,3.58873,13877.10156,-83.060257
-125.218315,8794.325195,-101.84935,125568.1875,-4993.491211
-23.218365,716.711548,-34.692028,3305.519043,-397.477783
202.399826,737.388855,-97.937325,7785.52002,-221.849014
-226.069702,8710.989258,-33.595154,80514.92188,-4002.963135
33.106369,1032.025635,-44.862026,3025.727783,-637.146729
259.969696,890.689636,40.059067,31684.2207,209.765961
-63.834949,406.725098,-51.63084,18105.69531,-321.081726
148.213455,1012.753174,59.495018,25154.83203,-545.809631
99.817429,121.693626,43.669621,767.236633,-27.038338
-71.727859,418.292084,-49.260693,1058.995972,-184.767166
239.278763,685.689697,75.744164,14826.19824,-225.274002
72.625374,577.823608,-25.624353,4120.065918,-257.229248
-120.790939,85.367561,-59.227577,736.610168,-227.777008
829.52771,8083.904297,17.519871,149705.625,-899.442322
75.660416,1008.380493,1.390887,12239.24512,92.148872
160.72493,133.601089,6.334961,5284.039062,178.021393
27.166496,571.729065,-37.122749,5173.216797,-284.66629
79.832397,289.215424,207.03125,4701.215332,158.018539
-236.9729,7289.686523,-25.338589,72226.47656,-3959.18042
57.740223,98.10141,61.456421,12147.31934,89.076721
70.177162,1283.647217,72.569115,62398.84375,212.112793
-39.075771,775.495911,6.987686,6036.479004,-243.712631
29.488672,460.71286,-128.531677,8713.069336,-42.356663
83.216026,826.669373,-13.733469,8430.042969,-306.970337
-17.606888,1258.849243,-49.557766,18180.66602,-181.883789
208.076889,393.575775,-7.571418,7051.591309,75.286758
127.348907,287.668915,-15.175422,3529.435547,132.840805
-22.68507,1629.121216,-12.524319,21058.22656,-605.197021
498.594086,3893.51001,82.217247,30657.16992,-826.170898
136.91777,850.395264,-77.726974,5626.241211,-318.245209
-124.591278,2252.189697,-58.929836,78507.54688,352.888947
-124.718925,1809.456909,-41.921246,123191.4688,980.291443
125.954521,692.420959,24.980696,21103.36914,54.678261
-1.039359,239.145355,-32.070374,8669.609375,-29.374975
620.057007,2003.650269,-55.770729,49346.35547,-188.531067
31.834293,385.18454,35.466099,3430.645996,-2.439568
117.114349,493.161255,1.573394,4683.219238,-104.407349
-3.001282,514.754578,-3.964726,4272.916016,-111.525215
186.186249,1973.549805,-6.66488,17578.14453,-930.136536
-67.765312,3039.185303,39.964657,38818.30859,-1460.05188
37.552666,12.057993,11.867129,21159.0293,145.138412
396.188324,1620.083618,101.536728,20175.2793,-564.749695
-11.995234,145.950317,-36.476952,13203.45898,12.376983
201.898544,1503.656616,44.75061,38971.09766,-18.256371
35.26738,195.205154,44.465427,3236.153564,73.429398
508.279297,13313.63867,-159.455505,122156.8203,-5203.043457
41.773239,1695.731567,-91.302788,16769.91797,-167.153107
131.98172,142.456512,-50.941116,8358.648438,-14.729202
-166.238281,1966.033081,26.874138,26782.51172,-820.864929
199.646576,2574.865479,87.849266,39581.97266,-977.144043
15.53409,509.021729,115.330643,2444.2854,-143.026047
-135.313919,1330.618042,68.001205,58951.77734,139.193588
108.901161,869.807922,-16.134199,14822.82422,152.678909
468.49823,2268.172852,-53.087925,22849.57617,-315.601929
34.089474,139.061386,-23.267582,17579.26563,-32.814735
8.437355,483.571991,39.678654,12482.50684,-121.031403
-95.306046,3392.54541,156.12558,66203.13281,-1200.239502
36.994141,972.609253,9.369126,16271.41504,15.34512
-10.978161,516.427307,-9.94404,1186.815674,-277.989105
105.757233,436.955414,-6.832335,19666.62305,-52.738632
296.271027,1891.100464,-23.513264,25476.99023,-592.383118
37.807018,137.7948,40.245335,757.435364,74.434044
99.362358,63.716549,87.611282,3764.519043,9.201558
216.875183,2495.11499,-8.140564,16913.01563,-692.323547
97.058174,197.698135,16.732229,55234.34766,172.955399
281.50766,508.688934,13.764592,15815.15234,-19.445068
268.714478,2183.997803,-67.10334,20807.30273,-611.997864
32.001091,144.768661,-13.369672,10668.80664,10.29875
-0.043468,392.935333,28.828548,52376.94922,15.354602
551.129089,2825.274658,-64.387039,36320.17969,151.118256
201.103241,526.786072,58.222961,34358.90234,-20.825115
59.94521,786.162048,-79.698967,14148.75,211.522415
59.852383,613.815979,-15.750484,6472.9375,-184.038727
107.216736,135.984879,71.300293,2782.163818,13.219989
279.184753,1767.973755,-23.469717,143123.4844,234.853302
-129.019104,6721.53418,93.387642,163069.2031,841.180908
-26.635946,1300.443604,7.299647,35843.04688,-516.563782
-6.162096,207.567551,107.610107,3746.781982,103.398621
441.727417,10480.13281,-151.092651,100461.5156,-4844.128418
144.067017,715.375366,-18.959063,18687.6543,263.695038
392.162476,3854.008789,67.356071,55514.82813,-290.612976
-2.634314,191.365082,-93.353561,4906.766113,-123.868462
32.414909,859.491638,-84.61216,11738.20606,71.727119
71.089455,3138.554932,-33.998035,37182.38281,323.003296
140.956589,251.514359,60.658947,4783.461426,-21.72065
244.115997,1187.296997,31.68432,18359.30078,-156.214691
246.345917,2320.143555,0.997661,54609.66406,147.304535
16.648895,140.121231,63.966534,3483.852539,116.096588
-136.51857,2861.36499,78.211792,115898.1563,712.372925
-41.775188,793.547607,-96.273827,14885.90137,16.743685
128.83168,514.876343,38.221565,18723.0332,-36.727962
128.753708,274.478943,24.031281,19840.25977,22.382826
172.797302,936.309998,-34.831696,11546.68555,-232.9328
134.274963,222.048615,-26.259836,3516.993164,15.827787
-86.208771,1769.548218,-120.548439,124588.375,319.341431
122.23391,56.59766,20.783224,5765.309082,80.46006
75.384979,1839.807373,-65.256622,46018.78516,45.105331
-5.306767,2404.854736,-47.217861,29124.29297,-1152.244873
-49.737873,496.983307,-53.491161,8301.813477,20.408684
9.289703,438.530609,5.728399,5302.015137,32.133976
159.052765,565.296692,0.676746,2070.405273,-266.789093
141.557419,140.973404,31.517553,6036.067383,43.088692
749.289978,5288.274902,-39.149052,148494.0469,-935.194824
126.177551,1087.565796,50.044746,12363.54004,-36.857788
74.252579,620.05011,52.915218,8933.094727,86.676842
-33.066086,2398.804199,34.057652,59271.22266,-84.941956
40.904533,234.854843,57.800438,5421.60791,-32.325333
206.322739,4174.192871,-81.092422,115779.8438,53.945023
99.253143,1452.165039,-122.62664,88201.76563,281.636169
163.024673,967.178711,-44.201046,38216.71875,59.446362
-144.041443,1816.164062,78.394043,25854.77539,-1307.032227
-71.686127,632.728882,-47.010281,15070.87402,-389.657776
-309.545685,3488.627197,-120.286263,61180.80469,-1092.775757
143.717041,145.06955,43.826046,11746.28516,47.288986
312.299988,6341.982422,78.168915,49648.14453,-2182.269775
-7.771836,3886.056641,28.374063,62994.60547,-93.704994
165.321228,504.440247,27.218716,10200.6875,191.321854
525.877075,5146.943848,-57.255535,85024.61719,346.141541
-80.029205,869.051941,-8.611847,8485.243164,-386.59964
-224.995804,1137.985229,-99.854942,77923.4375,416.81543
160.395416,1412.636108,44.751179,21098.37891,-255.700714
