WT,ST,GFP,SpT
-32.594452,2992.801514,13407.71973,2475.512695
-77.196915,3158.017822,12571.93848,1961.264893
227.347382,1479.256592,14843.83984,-532.894409
69.169861,359.443298,27684.65039,248.014954
173.002625,717.731873,3729.023682,434.258667
32.253117,337.046509,1663.140991,103.925888
134.069275,468.939972,3208.591064,157.319031
161.470306,220.093689,3683.635254,132.492126
32.301056,1933.869263,16073.10059,1749.194336
-590.7948,7085.25,55304.40234,3870.310303
-99.135574,1822.591064,13390.03906,734.970825
-5.236408,-25.033081,2796.74292,-11.929535
159.130844,277.747101,7488.560547,205.924149
250.429214,462.458435,9377.319336,31.774055
73.123199,291.172485,1511.212158,194.373856
-74.890892,746.531921,10113.42188,475.662781
129.47998,629.565552,4300.827637,328.841522
170.63121,1712.963501,11860.56738,184.861603
-33.594063,1246.8125,19458.19531,781.468628
72.429298,68.991829,413.389465,59.852444
12.866474,583.913086,4489.230469,279.680786
238.09285,1375.279175,11158.06641,43.168514
24.673046,490.726868,2763.670898,52.507298
2.007984,188.131378,1528.359253,115.3563
114.38063,1095.096558,8966.713867,645.108826
-910.716858,4680.340332,127589.1484,-418.432526
-524.105347,9056.248047,65259.79688,7044.81543
69.614441,144.894073,2306.727051,-23.020168
15.197815,201.110199,1252.234619,114.729652
302.77359,1401.940186,20532.60938,707.261841
5.53619,260.526825,5611.872559,187.816513
116.820938,1567.089233,12413.7666,968.342529
223.904633,1077.488037,11186.73535,-143.553741
24.180237,648.871704,7936.171387,212.607285
122.486313,40.915585,3234.222168,202.294235
-90.978729,739.288879,17898.37891,635.969238
44.230881,751.327759,6296.864746,333.807404
936.491821,2301.534912,39001.85547,2048.132812
0.748498,71.550423,544.614502,34.848236
-51.489208,913.405457,22149.92773,217.785324
178.656647,483.551544,5123.625977,278.102081
-3.448593,421.287994,4745.723145,150.360352
-565.966187,9961.3125,111984.1953,10028.33203
1503.290405,9283.363281,162529.1563,18403.74219
-85.6138,334.8638,2550.177246,211.937286
4.057766,421.444977,5642.141113,103.688332
36.054825,628.531067,14272.80176,442.357208
-169.735809,3630.133301,82399.99219,4623.744629
122.556488,277.566498,2388.572266,143.636948
-101.081268,432.394226,3007.852539,290.785126
423.937866,1121.439087,11208.05762,-424.296143
125.341888,1279.64563,29664.44141,684.111755
-112.006569,548.371277,5818.804199,61.248661
-19.291382,4975.81543,38191.53906,5809.563965
-59.318604,2654.162842,25781.83203,2691.939209
417.189301,2057.876953,27504.05469,949.220459
-204.525818,6996.428711,47552.04297,4972.772461
208.254913,519.312805,10855.63281,58.441227
5.426483,6309.621582,34965.6875,8723.853516
238.064606,495.476044,2357.465088,161.917862
340.280273,2547.406982,29234.95508,1852.604248
19.164253,277.79361,911.448303,-25.951416
-1.880287,1185.713745,6836.38916,1376.006836
116.885994,239.56723,1583.606201,131.903763
