WT,pptase,ST,GFP,SpT
94.827385,329.991028,5.825697,781.455566,-268.880951
188.728912,51.358833,27.19417,59.422028,13.651453
26.737854,181.114273,18.249821,130.045609,-43.563118
50.302998,76.976112,-15.872598,145.246399,-33.289997
4.39656,260.247559,79.717293,207.618988,11.621525
82.929893,82.309494,85.975716,203.269989,51.973686
46.572716,148.652771,-35.651535,128.160095,143.702728
45.276413,38.851551,48.954556,85.593185,-22.201412
30.877367,62.502747,6.196966,203.867935,101.292099
31.351637,107.659348,46.323025,38.44371,26.85358
104.755997,60.293274,-5.823209,83.251053,35.984386
11.883607,181.307495,-48.529312,886.902588,-183.562668
54.584076,113.349098,-55.189816,112.91301,44.294258
30.960356,189.880142,-68.557098,225.092392,-48.740215
162.662384,-1.391976,-28.381538,97.41346,26.477003
102.297188,34.714256,27.568825,135.445847,41.124317
175.070633,245.437729,64.976967,320.2435,110.245682
37.041386,155.980453,5.238897,182.176376,177.731583
-15.078433,-25.220625,15.808636,48.334381,68.199486
-17.787258,168.727371,33.680984,207.49913,-162.697418
36.271305,341.453369,-96.701035,419.951019,-73.275269
38.320591,276.507355,91.840782,1069.799194,21.372723
86.433556,21.691366,49.366676,-41.752064,5.803148
83.649696,89.56031,80.315109,214.229309,127.263748
85.549995,45.13802,93.892807,103.358284,98.318756
43.68705,100.205353,5.525673,170.697418,52.49081
77.19236,97.640533,-23.660955,146.01976,-16.767849
-38.15892,358.258453,14.488225,443.281677,-178.721954
105.687813,99.390656,10.715111,203.551102,60.39875
344.609589,1206.454102,99.398773,3847.843994,-562.922363
42.913723,12.998779,-30.941734,22.283215,33.205959
98.130981,1.457228,22.047976,47.425213,35.59219
59.429707,42.411221,20.406593,152.719757,43.689373
-11.073198,74.977081,83.883018,49.357193,83.474525
-14.730959,51.62289,-8.663438,92.052643,62.386009
-2.875606,37.338432,-17.326229,108.945885,-4.556292
8.581477,71.987343,-53.991341,160.777283,6.714271
49.110977,9.974781,38.082741,113.17524,90.82695
83.160912,77.527817,-14.960627,131.354935,42.926723
71.579941,66.95446,-29.392994,110.985451,15.699496
100.838257,81.070694,50.248413,89.625954,14.1438
270.994934,155.41893,-15.125036,411.690369,410.961365
-6.691965,82.713341,61.432598,198.748337,139.217209
-33.7146,80.135246,32.264771,72.219307,15.688805
40.885246,74.3228,7.685662,233.415222,40.071049
119.524315,47.215614,-23.633377,805.055359,29.273256
69.062965,111.059113,-23.75762,390.144836,29.226381
161.398865,-133.105988,81.115997,2254.986572,-12.124305
-178.261765,638.463806,6.231006,2172.123047,-595.860352
155.064438,73.744209,-22.386724,171.506851,191.279327
70.091965,460.997986,116.699844,563.15387,599.531372
86.050255,40.475182,6.993261,156.695511,169.283966
130.643753,7.637376,-23.765427,68.006157,-61.604729
98.858376,272.786407,-45.401272,673.137451,-218.780548
106.818161,48.569164,61.140152,96.515213,38.660591
58.751232,77.707764,24.176905,109.327896,48.080486
-299.779053,1735.26709,13.809585,2226.653076,-1194.075317
74.375885,153.878754,-23.64118,194.743698,30.432022
178.419586,86.815704,74.573433,290.085724,268.755402
31.202559,99.562958,5.841565,186.412415,68.514198
-36.140415,-17.928211,17.135201,86.290916,17.183212
3.393332,264.948578,62.873211,486.95166,-82.757652
59.302708,51.025757,-51.781967,88.590073,44.944618
-103.415878,690.616394,-42.343441,847.337158,-490.497162
121.608101,309.574341,-21.575897,667.304199,-234.099045
403.359985,437.101166,18.523705,2291.633301,-14.175573
27.413805,-8.894249,19.278435,49.849724,29.80439
122.601646,-65.158928,-17.512743,166.751282,103.04969
546.633118,-68.53392,69.798958,1046.479736,28.683178
5.778118,-6.734361,20.62005,161.924576,88.406059
