WT,ST,GFP,SpT
193.776871,-25.325224,10419.91699,83.010345
334.598816,46.558865,4430.053711,-84.897888
3691.554199,-9.945486,13118.55859,10.768071
1474.888184,133.197968,7149.360352,-2.2457
6197.474609,-28.8374,14895.04297,-119.543945
28357.66016,-360.716522,35391.82031,-17.250292
3514.727295,193.866669,4205.813477,-122.560684
589.977356,123.253304,991.336182,-9.871446
227.272034,-19.031996,219.190247,61.911144
1030.556885,-127.919701,7471.358887,-15.945118
1218.868652,25.685537,15217.13281,-356.673187
2873.798828,-40.911316,7869.149902,69.633179
1444.305176,-98.695885,2350.054199,28.62608
17420.30664,-118.451736,15787.95996,-1.428535
280.743103,-78.768478,716.883362,42.287621
991.933167,12.714908,10043.0625,-741.312683
4482.504883,314.234222,22161.82617,-1238.494995
699.735107,-31.338814,800.738708,-38.166603
2719.066895,-40.994785,10162.68066,-32.899738
802.157104,40.30455,1895.344849,102.43351
11845.2666,564.743469,23398.45898,-1057.686157
1655.218628,-33.978588,7463.622559,59.767376
13043.56445,-73.703957,47738.48047,-501.203308
682.737793,33.549911,6042.883301,-93.680023
848.964783,-37.936726,3543.075195,-211.494843
519.019043,24.422844,4213.003418,83.326805
7358.154785,-168.641769,8912.84082,54.312222
2047.307739,57.21283,6770.936523,-95.644363
4012.790283,42.520329,10010.91699,-163.484314
2076.954834,24.753302,9223.414062,-916.759705
1383.720703,10.801492,4988.716309,-84.587296
174.792801,-99.237991,2110.695312,-101.144943
840.593445,48.132427,4778.161133,57.42857
753.128113,-39.724239,1007.256287,7.106487
4974.382812,-108.663841,9330.260742,-119.486
1041.20813,-97.983208,7215.373535,-118.535736
1308.976929,-50.122154,3932.211914,-273.359283
2216.612305,-99.98233,15137.58496,-69.313385
2214.038574,142.767578,26012.21289,19.48904
1203.183594,-31.773973,4151.879883,-258.29306
865.949341,20.653948,10627.98633,38.621971
5738.287109,-71.234306,11542.51856,-78.424255
6593.82959,44.890976,37114.14453,-1376.696289
12811.28516,-177.881409,93431.20313,289.260376
7011.614258,-41.677383,8925.550781,-148.555191
299.920532,58.869652,747.762878,-54.838676
196.48764,37.948978,257.715057,-13.458951
1073.563965,72.915115,3488.344727,-527.090515
1307.778809,3.357569,4430.674316,92.925156
4300.030273,-6.332164,22640.83984,-56.185574
3312.91333,-26.085032,13727.84277,-122.132591
270.414856,-120.636711,921.218323,37.031422
7608.877441,-331.433228,34322.95313,-249.837143
130.308548,-2.448592,189.26413,99.307541
334.777252,30.044533,764.100281,-44.873444
988.05249,82.875237,1372.744263,-95.678741
660.043579,66.042725,632.286804,120.891594
2080.339111,36.565708,5101.345215,-452.332428
342.394745,7.112942,2113.200195,-63.629375
119.644608,51.192158,1846.104858,-28.544004
195.902008,80.043747,863.754456,-68.107391
3719.237549,13.283729,32533.28906,-122.34214
300.473389,24.458477,263.798218,106.767624
782.576172,38.205303,11296.50879,-232.013123
555.52002,-43.739712,1625.796143,8.69267
2981.001465,-50.59137,2766.314697,60.387234
5438.25,-64.446602,17480.1543,-20.898951
1434.670654,18.410477,20325.30078,34.853901
360.494781,164.731918,540.984863,111.156715
638.712158,-0.337459,410.887512,24.157085
1306.546997,-84.606163,18797.49805,-161.588959
2784.62915,-87.397331,3324.40625,37.624088
4680.272949,-94.589127,104826.4609,-99.111862
11074.55176,-145.127335,17982.58594,-96.47139
922.286316,-104.857681,4498.041992,-23.24733
4924.799316,126.573151,15395.93359,-111.53598
3376.170166,0.622468,17572.61523,-9.399908
1238.13208,-13.322219,7097.512695,-7.175261
3403.458984,-113.489922,42524.14453,-58.666248
128.081177,15.936041,273.860626,68.520142
681.852295,-52.360249,7109.546875,-240.590897
