WT1,GFP
33.417908,11.414307
127.226372,69.492065
42.917652,20.492432
26.037613,48.511108
59.777504,176.984375
49.98904,1.397461
32.800831,5.298584
58.535454,48.482666
122.639374,9.929688
98.539734,41.620483
45.769859,51.505615
16.548096,45.375854
131.589584,21.889893
103.23864,101.983398
45.210445,79.802979
28.229383,36.086182
36.885906,63.32959
29.33452,67.960938
26.233435,41.315674
22.354038,18.879272
42.486473,177.543945
30.565472,5.065063
2.188746,38.556152
61.522182,38.700928
36.31826,71.947144
14.791682,35.509033
8.90802,120.734131
17.114161,18.33667
62.199512,17.083984
32.494503,57.622559
91.02002,105.307251
94.440254,83.287964
65.995911,31.411926
4.542988,36.359131
15.577435,51.977783
6.33819,38.636719
53.89473,54.755554
3.989769,123.729492
97.520439,147.307617
6.626424,86.689575
70.102737,23.446289
17.852154,43.512695
109.378807,20.491821
59.552689,201.258789
26.822887,25.021484
47.758732,44.080566
14.093447,144.35791
91.919205,9.061768
67.832726,6.776733
58.159184,15.776367
95.054863,162.286621
33.790993,95.289551
15.327724,24.95874
53.558216,74.387695
39.004326,52.082031
5.50205,33.433105
18.229317,42.78894
55.672386,52.074707
46.607521,92.886963
18.50915,74.251953
111.748444,80.162109
106.488556,79.943848
9.225644,43.36377
29.183569,29.861816
9.833514,37.215576
26.885584,62.118774
56.020519,119.292725
3.881283,65.05957
85.441208,15.354248
37.401413,75.430298
62.221024,1.859619
78.978264,47.157837
2.900991,16.724365
35.72052,47.252441
36.38398,51.035156
25.379379,14.864746
27.548773,89.617798
31.701988,81.557983
27.418898,7.14209
1.599952,62.724365
31.549511,64.714844
65.577522,134.872559
2.988222,77.66748
51.633141,2.608643
20.330097,94.743164
73.650093,98.091187
19.244675,60.422852
29.018818,139.929688
79.270134,17.241333
67.364288,44.863159
67.153435,25.696289
61.950607,46.363525
85.974922,51.817627
164.775772,112.934326
46.278172,2.624512
95.47464,52.119263
45.585358,53.226318
145.472122,43.915283
46.381058,52.5802
18.342052,26.788574
36.719158,65.148804
44.180496,43.346558
72.132034,162.271484
176.223969,59.02002
87.39238,53.195923
99.225426,26.9021
40.348782,86.987427
16.44768,22.408997
54.392727,114.799316
95.464493,14.730347
94.311592,116.816528
41.375645,171.625488
111.480469,3.584106
20.708708,62.846924
