ST1,GFP,SpT1
2646.056396,46624.22266,3541.147217
525.447388,9428.849609,314.492676
796.117126,169403.1563,3954.720215
1424.096924,107781.9063,4252.063477
727.197815,151613.8594,2438.007568
4914.307617,80642.20313,1870.254272
202.717911,7546.095215,315.943604
1036.736938,37940.62891,898.528137
379.031525,23432.36328,127.181328
3182.334961,68272.74219,9661.78125
1351.079956,37303.65234,846.462952
238.512405,4117.976074,267.564331
505.4505,17087.60547,1525.002197
271.626373,433435.4375,11637.66797
641.768372,23646.39648,856.892944
709.713745,25629.70508,787.471008
383.623505,85899.63281,799.449341
3097.827637,44776.60156,1351.959106
828.930054,159828.0313,2071.039307
2237.026123,49829.89063,1083.795776
2855.763916,50084.09375,2255.817383
1006.470947,65170.73828,1510.303833
1781.167847,22226.52344,1343.321289
1707.832642,91079.45313,3401.577637
668.104187,11648.0166,691.636353
816.66095,35830.36328,992.612976
1339.493652,50947.01563,2815.895996
514.485596,14255.33106,251.962311
2190.748535,20902.14844,2366.727051
3168.717773,35033.82813,2979.703125
1546.678345,65835.10938,481.690918
1273.16687,19234.55469,1380.127197
4995.901367,53413.375,3908.511963
44.983829,37513.57813,328.89856
510.547913,32565.42188,402.886292
1455.76123,326518.125,5999.300781
1976.830322,354543.0313,6552.436035
343.324524,247855.3281,3559.47168
312.939697,7666.033203,724.562012
484.174438,8089.887207,276.315186
16329.05371,105050.6016,17023.79102
2938.127686,64063.19141,2427.964111
325.778168,15504.0957,111.186249
3003.169189,33645.50391,2603.626221
2593.164551,70870.24219,2309.175781
653.797852,63797.14063,2740.704346
1163.803589,237842.7656,4255.669922
2805.614258,69294.10156,5748.705566
2384.953857,30622.06445,5602.413086
1809.924316,15710.48047,1935.310181
7374.010254,85224.46094,16539.67969
673.541443,12789.00293,430.190063
535.694275,44526.49219,805.450684
3164.209961,106092.6016,4083.410645
1835.994873,23325.24805,1210.309448
2152.857422,95546.04688,5928.707031
2199.388916,174203.7813,1664.230225
3997.033936,104511.4766,12108.90039
1273.456665,39425.58984,1420.640991
368.02417,4656.306641,229.352203
791.052307,27739.4668,365.032104
503.511597,181908.3281,1530.84082
743.32312,9015.74707,627.34137
1292.897583,307688.7813,6838.333008
2447.272949,54072.52734,1232.691284
823.094727,124796.8438,1038.734497
847.10791,103124.3281,1006.127808
3441.701172,370651.0625,9390.535156
616.663757,11620.99219,325.384705
835.691589,28335.00781,517.40979
2092.741943,39503.98047,5325.754395
435.458252,5181.600586,348.111237
5290.246582,129514.5781,9115.141602
2069.786865,78254.28125,4779.265137
790.521484,28252.03711,850.729004
2115.981445,10034.97266,1120.650146
1214.02124,13657.05078,922.448853
195.348145,25357.67969,688.991028
2830.258301,411872.0625,14924.10352
544.281799,10650.87695,440.526306
1230.886108,22663.75586,463.377533
354.78833,19394.7832,438.544861
1765.385986,10097.6543,104.647537
988.091858,36793.09766,1796.710327
861.7323,3798.822998,202.503052
345.240662,4209.103516,138.066177
2204.973633,42042.14844,1388.932251
796.443604,53124.44922,437.807037
714.796204,18589.49805,1701.394409
3916.50415,78223.70313,8403.518555
352.134857,7968.647461,172.815918
736.386597,224466.8281,4954.729004
