pptase,GFP
73.994736,161.80127
73.542374,25.77063
7.69635,44.202393
34.648243,5.091309
77.544647,63.729248
110.610748,190.944336
232.83316,240.570312
146.98912,123.182129
57.142323,62.906433
51.496857,47.670898
123.9375,164.074219
41.61261,59.925781
40.277893,17.979248
3.658081,43.170898
55.551987,43.407959
24.249397,8.456421
30.581821,8.654053
18.596832,87.460938
94.189957,34.883057
100.024506,59.773926
34.641357,69.186951
109.451111,100.664062
151.307571,102.699219
153.6035,180.516846
63.46114,129.274658
100.513138,89.523193
70.202499,24.818604
161.020966,114.510742
5.241459,93.639526
59.771393,26.451782
75.014038,20.36908
104.116898,52.52002
75.381516,46.702759
58.639877,29.235107
64.087463,25.903687
7.103378,51.050293
158.396729,14.734375
30.767147,64.747192
111.269501,107.462891
15.4552,97.386719
32.333923,77.947876
41.834076,108.863281
187.816925,96.681641
70.944962,188.604004
108.570389,34.764893
103.109512,32.194214
28.087685,70.953125
36.764679,167.22876
85.750687,29.679565
11.688911,71.634277
59.781929,74.204346
11.920685,16.82373
140.815659,49.045776
47.194099,125.270996
44.325424,137.338379
58.103062,35.672607
86.504456,40.105469
18.283123,45.275818
1.769035,70.607666
53.926498,107.433594
64.291428,171.971191
125.108002,13.947754
71.404709,81.806885
86.298363,74.66333
55.147469,3.719849
75.468765,102.432983
23.851192,25.149414
225.279175,29.660156
52.87838,10.942017
169.012817,103.244629
65.469498,74.0354
28.753197,22.045776
76.387207,70.621582
165.471924,53.720947
127.840881,20.899658
11.287437,55.869629
292.947998,115.513916
121.163422,185.408569
35.908272,31.224854
137.910965,107.001953
114.748566,60.173096
31.9618,16.032593
115.254486,98.016724
234.592438,2.483398
82.102798,31.996643
28.427967,66.217285
82.873268,63.330078
35.853317,116.433105
74.115829,23.588623
30.651817,85.240112
22.877796,100.469604
112.572754,76.963867
129.886261,66.34375
33.432053,32.49646
106.191864,190.132324
168.113312,227.008789
3.455994,46.062012
92.436447,58.843384
20.228622,97.744385
100.890572,36.635498
45.423309,110.885254
38.084713,19.884277
99.67749,8.969238
60.050747,18.315674
58.028252,5.396851
57.647751,4.786621
82.222427,92.838257
71.91407,120.914062
21.227036,97.273438
53.488026,57.408203
74.427238,84.700073
118.212494,175.263672
25.090233,35.743164
67.807327,32.785156
36.45369,63.881104
14.153522,42.360962
116.045364,87.336243
172.466705,169.091797
246.119019,134.389648
106.782341,48.016418
81.058762,58.296265
92.746414,3.411133
88.136993,50.845764
35.056248,63.882385
151.968414,134.058838
28.627205,132.001709
77.92746,59.782593
54.636402,86.855469
65.780365,73.269775
6.186611,56.91333
49.155769,30.267578
100.822731,41.316772
37.641296,89.29541
53.663597,11.414307
79.638535,69.492065
58.097225,99.856567
276.504456,132.01416
15.954002,48.511108
4.134453,24.258789
43.582642,176.984375
188.644028,83.773926
106.487518,107.86731
33.843384,5.298584
25.040131,76.241455
125.234024,40.264648
259.023224,154.277344
35.771427,62.802124
28.001221,51.505615
106.75412,131.492432
173.889359,93.236694
54.956059,45.375854
28.382599,13.191406
34.571175,28.621338
62.328094,21.889893
77.707748,101.983398
22.372849,79.802979
81.000526,36.086182
176.717224,39.334595
67.969284,43.774658
18.824409,63.32959
22.662727,48.801758
43.225555,52.356079
121.36084,106.528564
22.311264,59.978882
92.752419,85.919067
170.127319,107.253418
35.149948,67.960938
33.442017,41.315674
24.79277,18.879272
159.518799,177.543945
12.952362,5.065063
41.630909,38.556152
21.61908,38.700928
49.129829,71.947144
64.083664,35.509033
3.353882,10.91748
44.543388,18.33667
18.538544,17.083984
69.058304,57.622559
43.8908,105.307251
7.054344,83.287964
42.602489,31.411926
47.243073,48.092041
14.357613,36.359131
