SpT2,ST1,mCherry
1250.752441,530.070068,1123.832764
418.21814,64.757629,381.445435
6840.279785,3370.52002,10654.06543
9008.09082,5465.144043,14249.20606
2162.778809,1733.6604,4420.20459
4463.520508,4139.755859,8929.804688
1907.692627,1790.232056,5884.638672
2348.976562,638.843262,1233.14502
6655.126465,2827.378662,29675.91211
1207.935425,279.466614,927.095154
1891.750244,798.148621,1755.301147
22073.75391,11360.40137,17934.94531
5641.435059,2332.954102,2295.459229
2262.830078,3658.789307,5952.983887
7300.932617,1208.629395,1624.333618
846.696594,234.875229,1220.759888
7319.446289,1974.419922,4404.448242
3189.538574,1909.872559,6605.750977
1567.756714,1296.756226,6281.562012
741.154785,680.626526,4014.854248
1195.944458,987.111938,3245.367188
3854.062012,1649.240479,9965.06543
927.911072,1964.408325,3613.546387
645.488892,882.775269,1967.953735
1872.947632,1821.105957,9394.49707
4417.091309,2961.657471,26857.03516
4911.980957,2671.540039,7919.239258
3643.374512,1162.355103,8686.902344
20371.25586,8640.786133,17844.77344
2184.865234,1572.705444,12491.18848
3702.996094,1419.379028,17555.03711
2397.124756,1864.962646,3071.223145
19040.61914,14068.9209,17097.47461
838.053894,489.907867,1701.532104
8551.442383,1855.420776,12054.9707
5749.115234,1250.485107,3351.100342
2852.151611,1055.661499,6541.769043
510.250671,444.526367,2719.11499
16040.17383,10394.44238,14394.32031
4178.938477,969.78949,2921.688232
19101.68945,8413.716797,2474.185059
11233.1543,5202.033691,28480.99609
10578.40039,5203.671387,32677.27734
614.773315,203.97731,515.230896
758.914551,246.778229,1878.075928
995.932373,162.158249,879.597046
3150.556641,2516.202148,2255.855713
879.776367,394.65509,994.790833
6478.740234,3153.776123,4707.628906
7217.342285,5380.812988,13718.75977
727.805237,21.370958,243.063614
10117.71777,3500.813232,33642.21875
2938.404785,1172.069946,8064.075684
2849.822266,3885.881348,11774.32031
795.790222,850.700439,3414.239014
13352.18555,4255.680664,25531.39258
11560.37402,3246.013672,7777.340332
16650.94336,6464.943848,24611.53906
2688.356934,507.646576,3669.175293
571.073792,736.40448,3179.487061
5101.209473,2544.098389,21628.71484
113.310555,3.507911,371.255463
1101.874878,536.925293,4925.937988
3912.046631,1077.89978,7799.155762
94.939247,80.019997,64.585434
1591.119385,1790.300537,7901.44873
4534.615234,4278.529785,23543.24219
915.714661,326.496674,1530.786743
1103.223267,388.284393,565.823181
2639.142578,597.175598,1381.41272
10200.98242,2061.812012,15139.58984
337.201691,211.279709,425.444824
3738.584473,2634.407227,9120.617188
7294.268555,6486.500488,20271.80078
1300.143311,1163.420044,4573.037598
7551.655762,4764.556152,5727.156738
1973.015259,3709.107178,12463.66992
902.563232,1074.729736,2997.268066
1469.933228,781.129333,3420.465576
2793.737549,366.430664,2881.83667
1323.127808,1027.184448,4525.932129
552.212097,437.643494,2245.572021
1388.719849,975.332397,2503.197266
490.480042,268.978638,2672.119141
1937.178101,1387.983643,8927.492188
3350.198486,1926.101685,4557.332031
5769.927246,679.680359,7091.518555
7689.356934,10259.32813,20358.77344
1810.768799,131.120132,668.112061
3102.532227,2778.508301,10889.41699
5735.234863,2122.875732,19091.33008
5055.480957,1141.761475,2146.384521
1188.703613,163.260178,2428.814209
1717.921021,549.450806,2472.210938
2338.975586,1594.048584,1855.83728
1206.63501,690.500732,6337.340332
568.875732,178.077423,206.508987
7680.166016,3855.389893,8925.213867
3645.905273,1238.215088,7498.928711
4345.533203,2864.553711,6862.05957
1840.158813,1445.271362,7070.80957
3005.748047,2922.464844,10091.16016
3010.47998,2063.447998,3933.289551
11210.79102,7724.684082,41274.15625
3556.653809,1170.484741,1518.997559
6655.543457,4340.739258,14690.40723
1691.841797,393.47757,785.493286
14421.08691,9806.510742,62299.53906
14251.71484,6807.199707,27666.83984
4721.956543,1740.060181,2531.280762
2710.818604,1467.818359,3929.733398
7583.031738,4161.226562,38153.01953
3234.740479,2922.994629,4084.099854
1953.847412,2052.814941,11593.37695
2430.28125,972.881775,2459.450684
3035.598633,2478.72583,9127.414062
1007.306641,350.382538,976.743774
1896.954712,223.480789,963.695312
2397.560059,2656.947266,3718.822754
7471.633789,1621.214844,3439.814209
22191.88281,13461.55176,95465.90625
530.988037,786.266418,1896.655396
9612.969727,14694.86816,36551.96484
477.313965,316.922974,1459.904419
3979.170898,799.333252,5853.072754
7605.337891,1680.3927,21084.2793
1954.886353,1581.054443,2990.753174
5339.246582,1985.479492,2729.521729
3195.005127,1251.472534,2696.992676
7547.955566,2202.811279,18235.46484
3295.00293,2746.538818,5421.84375
9648.621094,4850.617676,11853.26465
44.613033,62.468372,155.058228
1661.833862,1470.933594,3939.993164
874.584351,1063.897217,2453.617432
20578.92578,9056.811523,28016.58008
1249.952148,988.867859,2125.049805
11010.6416,1736.071411,12429.56934
2157.412842,1861.369263,7096.913086
1017.162048,912.103333,5956.88916
6623.57666,2336.25415,19475.16406
3679.760986,5643.184082,17732.9707
720.463257,947.989868,2296.040283
2059.354736,1763.419434,4183.95166
340.713806,212.065323,769.854126
6094.679688,9126.609375,25141.72461
11788.97656,5737.892578,17827.70508
781.916382,966.623901,3693.649414
478.710449,143.514969,409.613464
8436.208008,4769.70752,9275.824219
13446.11328,8475.088867,25787.17773
3478.296387,654.077271,2080.628174
4901.911133,1130.657471,5346.873535
816.213135,496.376129,780.692444
1442.072632,788.547546,2475.935303
3395.798584,839.546204,6226.879395
751.535461,131.228989,348.712738
3496.629395,4367.681641,18282.17578
5001.831543,3431.793701,14320.91113
1122.734741,341.591492,606.358398
13046.92773,2525.210449,25104.9375
