SpT2,ST1,mCherry
77.709183,178.190079,178.057449
56.737526,6.281824,78.805283
29.596922,101.136993,51.202152
79.609726,126.401611,128.723297
89.71685,127.843781,124.164383
256.106171,53.487152,54.496944
414.13031,129.527527,300.130402
118.426025,22.61071,106.878517
154.834885,34.639809,25.613432
10.003016,62.845249,69.215347
97.687332,19.132799,24.094439
83.947418,63.655788,78.109924
23.960688,49.488331,103.739731
87.840607,45.132599,75.145447
30.878128,32.771397,58.725086
36.087109,50.297344,80.100243
175.976379,24.70286,167.434311
71.718025,78.684158,147.667572
12.411684,114.592819,2.721964
102.572609,94.235229,142.075012
63.167473,43.131107,73.549004
6.322702,84.205475,3.31063
9.148232,26.321716,-1.584771
32.565613,47.002182,121.07901
87.807198,30.480099,77.153511
68.6819,87.920815,82.034492
2.599984,59.217545,47.774887
75.443115,103.130898,48.814468
74.367615,72.683815,58.940994
104.100174,35.45052,56.12038
147.214294,210.501938,296.980774
15.672379,80.906631,96.460159
89.253441,22.444155,43.251438
731.447632,26.140966,135.191696
84.169044,97.93792,21.871292
103.585243,41.968529,109.288315
178.554169,51.460255,22.879236
190.413483,17.546978,104.319229
21.161142,55.035023,87.903053
2.778114,12.977355,159.549118
85.874596,85.68399,86.095947
118.66246,118.815331,86.770805
75.219994,65.216515,66.916023
66.416855,113.416428,128.930923
87.414764,13.905416,58.751335
104.298737,31.372246,-4.199266
64.758614,99.021133,25.784782
93.559082,36.136654,143.667557
47.342896,35.395916,22.359825
73.29026,9.124615,61.788284
643.232422,43.833519,89.95237
77.617439,34.935688,26.656605
48.032951,45.280659,26.572115
162.436646,3.841197,96.97541
71.573608,63.546539,59.299858
84.598595,78.967636,50.837494
346.605042,62.149185,466.895874
42.951393,59.459824,84.035576
149.753555,40.466198,57.216423
158.133926,52.615112,78.315369
68.955063,94.560852,49.134075
75.703468,39.662651,-12.254551
84.180023,35.100368,57.263412
63.962219,90.575996,86.000748
79.115303,11.050803,-17.315752
114.546341,49.363976,143.861908
310.360962,32.551437,181.633575
124.286064,60.642159,61.226517
45.479229,22.851992,58.466595
79.516602,21.311419,64.398399
51.20327,31.866135,47.148781
37.305996,20.786476,84.110474
30.017075,101.227493,85.592102
110.637871,21.61833,73.882889
65.858047,66.229324,70.280479
33.276047,94.039345,85.912994
62.191811,72.667694,79.579033
127.928284,57.820679,132.797577
83.72789,66.44429,120.103302
50.186466,2.512393,91.081329
114.589394,76.384712,112.12619
109.83445,6.277586,-73.032524
11.286101,31.664452,45.579163
39.86145,39.612122,67.084305
47.963013,75.348083,86.75589
379.220367,65.352066,329.194244
49.314159,19.059444,63.788704
359.717133,12.936968,146.536102
119.304985,86.78508,45.130062
54.533222,52.441559,130.10408
222.402527,22.345312,105.515457
99.111046,38.819633,73.027992
70.239975,27.602365,15.472198
132.455933,48.49947,149.486557
222.333984,161.831467,73.753922
57.717911,106.92495,102.564575
94.228401,61.40221,77.349823
15.346487,68.329254,28.00046
71.838943,43.234009,184.099686
269.297058,23.346607,117.334793
67.876907,34.344357,6.644236
21.541016,57.180744,29.314219
2.059486,86.451935,60.542233
707.307861,85.107689,916.828796
106.348099,28.497448,96.559776
77.425537,51.849728,78.680664
208.874725,60.628304,181.838165
148.721329,37.717537,101.658478
52.740501,54.033302,124.042435
49.631985,8.719041,194.030411
28.695101,30.558224,48.681114
382.244446,12.768501,139.089859
326.806549,32.085133,128.589081
17.318937,37.829475,10.383299
67.278709,135.658722,-32.630207
209.121277,7.652522,199.256348
10.258171,79.695511,88.148743
48.683689,58.950474,58.869781
115.807442,37.69978,34.505199
41.709148,38.500835,71.203171
291.130585,76.364395,210.454651
90.1325,27.302576,153.159866
