ST1,GFP
25.723429,116.433105
62.107758,23.588623
37.663788,85.240112
103.131165,100.469604
91.89502,39.341064
68.00692,118.61792
5.327751,10.230347
177.580017,41.060059
32.567551,32.49646
18.113207,190.132324
93.278198,46.062012
85.151627,58.843384
63.647114,28.036621
3.322635,36.635498
34.624138,2.294556
54.489197,110.885254
7.550502,19.884277
23.372892,8.969238
117.62001,18.315674
55.355103,5.396851
89.414757,34.132324
85.453865,4.786621
70.45079,90.504761
18.491508,92.838257
3.22092,120.914062
151.3293,97.273438
31.459415,39.490356
48.539234,57.408203
80.661751,84.700073
51.872932,32.785156
49.264431,63.881104
69.130501,37.224976
6.98734,87.336243
33.329926,36.672852
141.748566,8.863159
94.24321,169.091797
30.817364,134.389648
11.029219,2.682373
136.999939,48.016418
26.059355,58.296265
10.087604,50.845764
171.846039,5.354492
21.458694,81.139404
72.349442,132.001709
67.856689,59.782593
44.043987,86.855469
60.969681,73.269775
36.850666,56.91333
73.504921,54.16626
53.872276,7.858154
47.115303,89.29541
9.976518,11.414307
54.541065,84.920898
61.525356,132.01416
66.751007,20.492432
16.347599,48.511108
41.742443,24.258789
109.215935,176.984375
9.759459,40.264648
31.017365,48.482666
55.953846,154.277344
76.828918,9.929688
109.062767,41.620483
34.539017,131.492432
13.186871,93.236694
38.152557,45.375854
32.525272,13.191406
36.077301,28.621338
35.188408,21.889893
55.18161,101.983398
26.782288,79.802979
68.362183,36.086182
34.911461,39.334595
76.50663,43.774658
22.060308,52.356079
166.953705,85.919067
53.88517,107.253418
98.212143,41.315674
52.463039,177.543945
23.652504,5.065063
2.496513,38.556152
30.889677,38.700928
62.004436,71.947144
14.768481,35.509033
84.173737,13.688721
35.629486,10.91748
114.70356,17.083984
126.178711,105.307251
60.43425,31.411926
68.75602,36.359131
32.73769,51.977783
27.418804,23.967285
16.631615,38.636719
98.563499,54.755554
23.383053,86.689575
89.408867,23.446289
26.50156,31.204346
20.073092,44.080566
58.541191,144.35791
39.963921,9.061768
103.643402,100.737793
27.659061,103.805664
61.835434,59.870361
129.63446,162.286621
50.169647,95.289551
17.583097,37.455078
23.016148,24.95874
6.039776,74.387695
15.773158,53.011841
73.778549,35.971191
25.700209,42.684814
2.948602,225.024414
106.324463,123.345215
144.906631,92.886963
101.106209,2.399536
68.159386,74.251953
22.06912,44.008301
60.126286,89.259155
79.041229,29.145508
50.264717,79.943848
74.512222,88.552002
67.979744,69.334106
25.671347,28.609375
71.21257,38.138184
162.579132,78.668457
37.27,38.666016
109.381699,65.05957
75.137657,53.653809
28.006147,15.354248
68.276268,75.430298
78.144814,47.157837
94.8153,16.724365
135.327148,47.252441
55.492935,81.557983
26.359409,64.584656
10.571836,62.724365
65.700714,2.874268
80.07692,134.872559
21.483992,94.743164
44.360977,36.735962
12.449064,95.828491
24.453951,53.22168
28.958975,139.929688
56.294518,44.863159
40.732738,40.670227
124.787857,64.597168
97.542145,46.363525
34.256622,91.941895
49.975567,2.624512
6.516751,52.119263
58.155006,197.229004
33.457619,43.915283
100.931076,1.85791
9.800633,52.5802
94.182068,3.00354
53.890686,26.788574
71.845062,3.525146
23.148903,69.080566
66.082214,65.148804
59.000534,43.346558
43.339142,162.271484
160.053909,59.02002
19.693968,15.970215
52.051109,26.9021
24.84643,79.741455
8.825769,116.816528
56.228825,171.625488
67.930092,3.584106
143.108521,139.965393
73.749611,62.846924
116.499542,65.1875
16.316498,67.737122
95.893684,76.243164
26.124289,3.599854
3.605568,47.922852
29.523525,12.86499
38.921982,29.321533
11.030327,85.859863
9.9714,38.407349
63.902866,232.586426
42.081329,122.827393
26.738317,93.469116
31.047997,12.226074
30.862101,31.5802
31.090683,93.338379
127.57386,63.505615
53.64642,16.228638
14.763889,22.237305
64.291969,50.49707
12.269044,54.480286
14.184768,45.425598
72.349167,51.751099
82.36956,47.449585
121.09127,3.317627
90.981995,109.084961
92.072586,100.832031
19.985689,166.675293
18.912838,187.850586
63.010502,12.185547
20.445002,84.60498
28.335915,20.181519
151.954666,67.151123
166.972,68.063477
29.551943,60.037231
118.520004,33.13855
129.798645,22.700317
