pptase,GFP
68.026489,886.17627
235.669083,6986.106445
2801.95166,16073.87988
597.428833,2678.604492
183.417572,1704.115723
953.275269,6202.486328
12.386215,1125.054321
1559.72998,14745.28418
84.013641,1510.131836
83.206543,327.748047
278.033234,6884.871094
317.859985,3160.488281
1798.525757,20175.23828
100.278175,1238.672974
491.145508,2422.780762
974.337646,29303.60938
16.103683,9637.180664
1522.719482,16380.2168
97.770073,833.832764
320.02002,13900.67871
122.559883,1251.863525
602.115356,7825.274414
687.24585,5060.30957
347.229553,1871.371582
310.175415,13176.41406
179.19223,1998.743896
541.974487,5023.598633
283.783569,1886.687256
360.619171,5397.078125
121.916,3682.231689
210.603088,4435.51416
141.324219,3344.181152
491.074036,11359.19824
293.190857,6260.945801
227.909897,13315.8291
1162.856689,17322.00586
249.036545,2087.558594
406.330933,5759.107422
235.978485,15299.31348
286.66449,10425.05762
112.84285,1908.569946
124.711426,720.909302
114.884827,1262.473633
348.333923,6373.114258
942.514404,9790.277344
1092.369385,15746.65625
422.751923,10717.03906
311.207306,1662.185303
29.745876,61.480347
544.763306,3247.231689
64.688156,2483.095703
295.405487,4935.353516
2289.507812,19080.80469
320.010986,12842.01953
212.121765,1075.574707
688.978821,13633.56836
538.395691,7287.601562
7853.018555,40762.05859
520.283203,8294.193359
691.232849,10505.14648
202.776428,4404.935059
301.09787,9045.044922
408.093384,2591.261475
650.373474,9780.390625
2209.255615,23187.14844
149.206573,774.366699
623.36615,14484.69336
306.754089,1437.950195
522.714111,2332.322754
263.789734,1942.956055
609.830872,15842.83398
56.744156,1493.63623
363.336182,6374.648438
278.604858,3999.632812
467.092285,8163.078613
113.384155,23699.67969
560.561218,4157.62793
87.868011,4205.362793
296.046417,5013.666992
730.199219,8946.597656
380.155396,2031.458618
523.706787,8756.555664
108.27771,2962.827881
138.90506,295.722168
125.995705,374.705566
66.401932,1690.063477
133.660309,14476.05176
456.312561,2719.947754
120.062019,9388.179688
1286.620605,9104.125
1753.966431,15923.14648
574.618042,11020.39063
223.877747,7998.232422
66.150154,16368.97461
1005.721924,20122.65625
629.280518,10954.66016
1393.838501,10582.54981
4784.217773,23895.81641
95.506805,763.072754
316.528076,6378.949219
1414.184692,10655.58008
648.227051,11830.65234
190.477997,14537.59961
2486.33374,35373.66406
188.733429,4772.647461
101.291748,783.013611
229.507568,1680.263672
257.830872,2075.072021
3192.826904,32193.7793
227.222534,16060.55664
2490.331787,34256.79688
282.514526,4561.134277
344.054108,5093.923828
54.553635,3421.584961
71.626175,681.444092
433.438477,2128.504883
117.459572,1109.814331
307.976166,2998.15332
21.128998,2075.756348
22.068138,14373.17773
237.395645,2029.677002
1843.91333,15398.23828
394.820496,3898.437012
617.17395,12786.9375
5797.007812,43636.89844
1109.896484,6569.96875
1964.515381,11508.7168
331.954346,5179.410645
1744.245972,18887.59961
152.384552,12929.74512
538.955322,5716.563965
89.115448,16250.28125
1487.148926,12463.77637
690.552124,8424.891602
560.101318,15353.34766
330.709167,3821.751465
119.095718,4533.741211
344.985229,26833.27344
1185.976196,8318.722656
153.610809,878.916748
470.89032,7927.896973
320.763184,9809.313477
496.459656,3284.047363
973.985229,6803.550781
932.454102,8646.727539
70.803879,2780.023438
403.633453,3370.429443
361.349274,3038.390625
453.503876,5172.173828
2829.388184,29476.8457
1653.830688,14545.87891
484.24646,4900.633789
3160.201904,17306.08984
1046.486938,10930.84961
656.977905,3689.782715
1094.783325,15075.62207
306.441132,2131.807129
339.08606,8606.246094
338.252686,6611.391113
