ST1,GFP,SpT1
-5.618554,21.19165,16.331589
4.275969,11.405273,62.966064
29.862585,110.449097,62.576805
121.197464,48.608154,29.968933
-69.536972,18.681641,54.848877
103.14962,75.6521,100.018753
-4.262025,37.972656,98.264999
71.748512,93.80603,125.42601
-38.749363,192.692383,85.283508
-23.922325,24.852173,66.155304
-7.729406,50.82666,115.495941
95.541084,49.858154,26.175377
29.851854,69.165649,62.085831
2.546496,6.105713,22.533295
40.189941,54.225952,94.075035
62.417816,125.197021,18.966141
53.434036,37.864624,91.384109
-6.423592,37.739746,50.996475
11.270737,40.173584,32.904236
4.23736,130.051147,70.303528
-64.317612,14.812012,15.004395
-63.310444,39.855713,42.897797
55.540039,67.180176,36.608185
47.487221,29.134277,95.133224
88.770844,108.847412,49.4356
2.97263,73.982605,37.015785
-65.267166,9.562622,42.065514
32.688408,55.578125,20.928406
37.955608,29.632812,104.126274
-33.750854,22.659912,49.857391
-31.216257,31.503662,75.547943
16.966784,40.738281,89.778595
-10.420518,7.374878,64.453537
32.228638,49.800659,26.771202
13.401713,44.897217,70.488327
-49.464935,46.721924,62.577271
154.571533,91.61499,23.908356
61.286289,75.417847,49.824203
136.909622,21.781006,113.897919
-2.483523,31.225342,29.957596
-12.435766,41.912231,48.420624
-107.243553,54.569702,35.05378
49.649967,18.079346,35.3694
-79.785973,76.838013,80.97934
8.902377,42.803223,101.174072
-43.140339,47.916382,87.570282
90.694771,29.616089,29.697769
-7.837058,47.399048,62.879486
113.82003,105.1875,48.696045
-44.33007,1.366211,57.4991
-46.454365,55.639771,70.072762
23.437073,32.292603,9.041412
58.765862,12.07959,81.649063
-33.385098,4.465576,40.135292
-11.186212,23.871826,87.013916
30.11809,70.00647,50.046539
54.993431,131.844238,105.88781
204.191559,74.162109,75.483627
22.250618,46.84375,39.461685
-47.775818,1.733887,33.448181
-52.542492,49.140625,63.517517
84.41153,10.699707,102.53009
17.416594,22.549316,4.800819
-32.320282,135.413086,230.373322
-48.043587,123.362061,25.515732
63.26955,86.044678,72.134674
-109.564415,100.494385,29.478958
53.693604,6.498779,25.223633
-91.771461,6.864502,61.888672
125.358002,37.806885,84.13002
29.070564,158.254761,78.809341
74.673767,84.871582,12.741852
-3.519661,28.14978,77.103378
83.454193,39.641846,12.924843
159.736298,28.937439,69.369934
42.771797,29.190186,93.17466
6.382816,16.943481,70.29982
-10.814264,124.585205,93.512146
-0.264724,30.026489,69.553116
82.106895,84.932007,68.791565
162.02298,67.101807,54.462555
51.369511,35.534668,65.007172
7.975146,130.070557,54.785461
32.515068,56.388794,14.026131
84.631271,77.410645,7.64003
-71.381111,60.93689,79.794434
-19.569784,36.850403,63.764839
30.260521,85.89209,103.967712
15.233506,64.495361,28.190262
102.653343,10.07251,66.556465
-87.240685,32.771423,2.373016
-92.533936,23.651489,60.726059
-1.006861,24.050415,94.084366
10.749763,106.098145,21.64267
136.837708,23.25,90.461891
-5.517499,172.417969,7.366028
125.753448,29.16272,42.909088
28.091076,87.658569,76.792038
30.892996,117.734619,101.770325
43.695202,116.84021,30.669357
53.017612,20.487305,22.328651
64.994034,2.010803,18.97924
36.445316,32.786621,45.329422
-22.430819,50.951172,2.13797
38.497734,160.255371,15.688782
140.003525,87.516113,21.582886
-111.865952,104.687988,36.932022
-20.231857,94.987793,56.693054
94.4244,45.300537,164.09256
