WT1,GFP
3675.697754,44572.20703
1185.522949,15561.9707
441.423096,16015.58887
2993.045654,14286.6709
2230.790771,53290.91016
1351.658569,48986.58984
636.141785,4817.048828
1416.560913,57701.10547
580.314697,9084.286133
973.766724,7504.328125
8975.464844,47651.27344
216.348312,588.248169
2293.64624,16146.86719
459.243774,25093.79102
416.338867,23249.625
810.014343,18209.38867
1412.099365,16218.08398
358.233307,17595.3125
1501.454956,18872.1543
488.928986,2790.26709
3373.334473,26773.55469
3587.760986,99405.74219
1732.752686,22993.50391
4355.999023,32968.27734
906.11084,9372.232422
3679.953125,30711.51172
418.318817,18751.37305
452.270172,7327.832031
391.557312,2511.477051
1716.38501,9723.228516
432.189941,2924.63623
2292.669189,38591.54297
191.616898,1156.537354
1582.666626,10195.4082
1126.786743,85329.67188
2171.054443,21454.55078
3041.652344,32379.31445
350.132446,6932.323242
1067.013916,36905.29297
959.885315,10663.01367
707.755798,7618.447266
1241.648193,7351.275391
5273.903809,26752.8125
3932.342529,31218.53516
1882.210327,37623.37109
796.301147,18666.21484
934.937927,8458.81543
1329.918701,13470.27441
1260.355469,13074.66797
4247.020996,22966.52148
4854.106934,42471.92578
985.786133,7661.984863
355.734772,14746.27148
1104.032593,8638.525391
9737.793945,137817.9531
2886.269531,19898.56055
1421.770386,9157.09375
33.026657,640.645142
3677.251709,27428.73438
3386.112061,48445.8125
898.44989,20576.48438
8696.054688,55091.14453
1181.826904,12265.21973
1362.902222,6829.013672
307.551331,5874.087402
10654.48242,68730.27344
5524.227539,64725.63281
17.409155,1272.309814
371.761292,14419.1543
1320.237061,21733.08594
1481.50354,32639.71484
673.923706,9835.042969
8902.896484,48758.96875
4252.61377,33616.82422
2181.727539,12901.78711
4336.470215,21808.29492
330.473999,2356.75708
92.220451,27225.46094
3208.948975,27460.36914
451.865234,8422.116211
594.807556,3661.362061
1772.512085,42475.74219
3590.993652,56637.31641
620.71875,3170.315186
152.75943,319.553711
283.865173,1146.784546
5156.358887,33188.13281
485.305786,4688.611328
274.507874,900.74292
684.865906,10218.75879
1097.97229,18167.87695
787.390381,5713.561523
9043.564453,46967.00781
1326.863892,48471.48047
3781.260498,49126.61719
12311.87305,88210.41406
311.066986,2452.781738
