ST1,GFP
546.283508,37838.88672
2838.237061,62367.01172
965.582397,38668.74609
7042.5625,395552.4375
3665.244873,78307.75781
8327.666016,130899.0156
1814.266968,85230.11719
223.157654,101217.5781
1551.408447,48419.24219
346.797638,5020.777344
778.520569,32594.52148
7972.560059,68647.61719
1051.900269,36761.83594
570.907776,6441.255859
1396.744629,58047.65625
335.13623,71121.42188
606.251465,13800.55176
1749.892334,27126.77148
2188.264404,21975.5
801.41687,11291.62891
813.79248,19621.70117
1816.91748,82709.60156
919.984131,23127.05859
797.352356,19039.70313
469.338165,18195.46289
2142.794434,78614.72656
581.015381,15977.68848
5251.428223,110568.7891
1427.986328,116993.8359
1798.401489,60679.61719
3079.72998,184704.6875
3803.928711,145453.3125
1328.672241,19488.03516
198.213089,42031.16016
901.876404,48611.52344
2660.333252,71008.21875
702.926208,41429.93359
1340.176636,45475.5625
2369.30249,116728.1953
4535.561523,40474.50781
311.866547,13553.42578
3878.409424,131115.0625
5375.061035,50237.26953
53.677128,6760.730469
508.552063,206275.7813
850.265442,23933.6543
3826.726318,213626
1720.212158,36202.97656
61.559021,40686.875
280.69397,7137.102051
1064.935425,10264.79785
791.779419,104349.2891
3648.598633,91873.44531
930.31842,24308.42773
1346.211914,27213.14063
2947.407471,125078.2188
380.18045,5724.117188
730.770996,34115.33594
1506.309692,27643.50781
1709.806274,32009.14063
756.012634,37749.42969
580.740967,10504.91113
378.962677,47389.04688
407.64502,22882.96484
593.353577,14012.30957
897.362915,13900.48145
3845.688721,211319.7813
1734.725098,55358.51563
6069.702637,99867.27344
1917.890625,60455.46484
1346.151123,202644.625
1033.303833,20451.77344
458.106049,80564.71094
1453.91272,34399.63672
602.988037,37072.45703
1062.460205,26750.83008
1753.931641,34310.56641
4314.916504,169664.3438
2582.285889,73815.58594
247.213043,95117.96875
2316.949219,44434.42188
390.339966,22763.08789
1544.613037,24124.15039
757.865967,31543.99805
1483.765259,66046.92969
406.400543,43593.34375
1100.621704,21441.9375
507.939209,47796.34375
408.403687,66863.875
2593.567627,35540.74219
95.13768,54479.11328
1274.938965,51500.26172
524.860229,17278.80273
1017.461914,63651.41016
455.689728,15233.82617
2857.663818,155940.375
623.113098,14291.04688
7068.861328,95792.70313
779.491516,16097.46094
381.589478,6384.374512
90.764175,1730.629395
196.774155,3967.868896
5815.822266,60844.90234
375.197937,27563.93164
7972.560547,362334.4063
1412.026855,25705.97266
760.664734,82513.67188
925.820129,18355.63867
1526.504883,106595.0781
6998.181152,149340.9375
2620.333496,200897.0625
1181.356201,49317.9375
841.938538,33122.26953
891.114624,66934.20313
717.475647,26294.60938
632.51886,15028.39258
395.839722,11191.88867
9950.49707,323860.1875
5100.006348,151869.1094
1002.134155,53205.38672
702.077698,38474.78906
2017.822754,28707.75
537.057922,19263.98828
7230.59375,165269.6563
320.178223,85677.375
196.944763,240461.2813
656.246704,14192.70703
224.888031,6453.976562
113.446007,3616.758301
451.300446,7170.692871
225.854477,22320.78516
508.490814,56321.83594
960.789673,13857.89648
4503.597168,54636.05469
7361.598633,132666.0156
187.608429,20154.06445
536.602539,47090.84766
2213.882324,150226.25
2012.415527,38242.40234
2391.21582,90754.39063
100.855751,6810.25
2277.802734,35541.96875
302.174072,8076.27832
184.721863,176831.3125
943.979553,9624.167969
889.585876,100510.1875
319.655121,6841.695312
705.653198,48206.0625
14143.48731,141049.9219
185.881531,66916.41406
493.062408,28927.02344
394.752686,6646.712891
296.664825,20241.62305
598.563965,14119.31934
1314.765991,99505.49219
712.27832,48647.44531
524.259033,21565.57813
782.727783,41989.59375
1594.187256,35683.82813
785.026855,56420.39453
8362.933594,260681.375
1418.157227,15216.41211
1789.396606,27793.63281
5698.164062,140472.2969
751.762634,35416.05469
606.702148,7387.07959
686.024597,20147.39063
10354.7959,213549.6094
248.601395,13283.55078
2667.894043,46849.07813
710.892029,38732.23438
753.731262,95308.65625
498.829102,12151.32813
576.86438,20106.48242
8757.756836,84268.67969
515.442139,7804.943848
623.076843,169962.1094
1987.159424,63551.04297
1316.136963,37107.26953
235.645157,60043.65625
7358.806641,166194.8906
2501.033691,33955.97656
1719.994019,52834.69922
195.724106,4790.32959
5250.16748,82707.54688
969.620972,368357.5313
275.383362,22949.99023
3511.804932,128773.0313
1170.603516,48931.06641
637.203247,14611.53418
151.644165,10493.94336
632.449402,21276.77734
683.680237,20609.16211
405.054718,20440.76563
493.127197,83739.90625
4887.267578,126982.0859
776.577087,54907.65234
539.118469,14202.86523
601.737,27983.85352
381.148651,87445.6875
551.913879,139865.9844
1160.696289,76361.83594
3687.249023,63948.12891
3941.984863,177286.0469
5183.368652,100981.9609
4028.207031,91075.00781
1036.671509,135998.0313
5162.755859,227901.2969
1849.831543,60684.15234
2529.227295,93439.19531
1695.320435,95273.54688
535.463623,61009.42188
895.626404,21663.54883
621.718079,75117.08594
1516.615234,21536.5
1674.559692,39825.54688
1835.109131,25671.92578
1166.626587,57888.86328
1081.151245,34965.46094
2236.368896,23217.50977
5995.131836,169425.5469
743.483093,61634.43359
950.502869,23605.39844
865.626343,83116.1875
107.997772,5858.518066
512.19397,8736.526367
10839.55078,221196.6094
972.431458,21268.0918
2148.695557,255451.3438
366.915192,6925.705078
944.4422,10804.02832
3621.23584,60354.33984
879.864075,185348.9688
165.739044,49480.07422
361.662079,17738.08984
2136.016602,26544.50586
2090.29248,173303.3281
1177.654053,35271.03906
2692.404785,23215.04688
467.04715,140174.1094
236.875137,9734.727539
761.062134,16154.25
2023.439453,56282.62891
527.438477,7244.027832
689.589172,56591.74609
1226.676147,48087.41797
2479.491211,39616.21875
241.857132,76893.28125
2330.906006,47882.75781
582.168335,9395.863281
6634.456055,121691.4766
1710.204346,18205.23828
761.63147,21310.74219
163.570328,15024.65625
1007.391968,14850.31445
2499.307617,206613.4844
211.321991,88271.32813
400.858124,52686.89453
3624.485107,77406.65625
648.863464,23677.29297
349.767029,8318.027344
2030.203125,27251.96875
93.886253,6947.660645
316.834442,12834.96777
483.959625,4279.137207
989.535645,11197.26758
496.657043,9118.229492
687.082581,102877.0234
1773.415527,24144.75391
190.091507,6421.751953
5423.529785,68523.51563
329.252167,14162.33691
849.470581,8446.582031
465.118835,29358.48242
405.069031,52401.32031
4636.263672,182642.1563
2470.266113,54976.21094
379.062012,12471.3584
6228.211426,64080.84375
718.590149,75764.25
661.150879,11343.07617
683.482727,23263.78125
1201.146729,15847.19141
506.498596,16569.89063
2208.891357,114235.2344
711.039673,13447.69531
708.3078,14568.63184
190.355469,2210.802246
3568.135254,80412.53125
674.332336,9834.378906
167.988602,36839.27734
208.201385,47390.92578
552.451721,11257.24512
4428.337891,101691.9453
9089.892578,287660.9063
731.919495,10539.7168
3339.574707,129839.3906
2496.987793,194657.3125
40.018635,3369.830078
310.775421,7979.535645
1851.130859,90024.92188
4796.967285,204821.6094
1294.920776,66270.13281
3311.795166,144088.7813
553.526367,8380.584961
316.125977,41466.36719
619.406494,32635.41602
1861.440186,33862.50781
324.165741,7508.086914
758.083496,18524.55273
2977.381836,129676.4453
227.055695,43186.08203
1363.47168,52044.44141
1375.268555,21268.67773
867.16156,11383.61328
335.022064,18039.81641
3294.701904,74488.45313
792.201111,46021.76953
408.04007,10243.25391
837.421082,24961.58594
10214.63965,224615.1875
1438.199097,20076.79883
3878.467041,62874.65234
575.650391,8028.273438
2522.265381,66474.15625
3734.187012,190477.0469
1098.729248,54497.52344
382.052704,8534.529297
370.620758,18501.65625
886.170959,21716.125
6804.066406,81755.97656
531.595032,11334.92188
755.628052,9832.025391
644.143616,79744.80469
447.733429,21088.79102
2349.011963,124756.6094
1229.540771,38352.53125
661.071533,101999.875
879.677917,25133.39844
261.160706,12217.44434
510.639038,11461.65234
600.243896,21284.02344
336.633759,63979.39063
12441.32324,305346.125
677.214539,37336.88281
52.196774,32554.35547
3020.247314,43896.80469
530.03479,12789.77637
2240.682373,80752.94531
717.952393,106422.6172
174.621124,8451.555664
6649.241699,229739.6563
526.573853,10155.125
5633.65332,90212.25
248.959991,33637.26953
464.207214,40489.41016
619.280396,100595.5703
2714.507324,25489.20117
133.010223,16147.4043
726.948853,33488.85156
839.948669,8366.053711
3637.319092,111550.6484
1530.717041,77447.32813
1598.363525,17225.44727
2293.784424,51269.96094
2173.696533,271032.5625
2052.612305,62778.3125
930.524902,62418.77344
1279.020386,80325.09375
740.630981,38129.09766
3452.482666,68027.57813
321.49115,20964.01563
339.286865,20658.88086
829.441284,57282.19922
804.656494,79833.11719
2691.364746,62659.29688
3205.50708,92400.42188
332.705109,29265.25
4436.530273,82992.69531
327.926178,28998.34766
1023.100098,13683.01367
343.918243,27973.75391
5206.096191,122972.0859
1825.980347,81952.22656
356.153473,66627.94531
1136.358643,26062.33008
356.731812,6169.893066
502.831482,8706.429688
389.474915,17083.10938
128.7836,78294.69531
149.346832,6739.493652
123.491531,5594.30127
1864.735596,39970.71875
818.105164,21484.6875
885.841003,30514.52734
5607.230469,82035.15625
1009.63916,12608.23242
1486.78125,136022.6719
4451.948242,128315.375
5534.989746,115502.3125
1349.810547,25640.58594
121.919037,26453.7793
2062.666748,199282.9063
1078.020508,44967.05469
723.782166,15224.0127
5208.272461,114632.5938
12339.32715,159709.0313
811.446411,17022.69922
6954.050781,102178.4531
8606.175781,82844.17188
1743.478394,24269.60742
817.673218,14112.17676
1900.618652,34035.26172
575.772827,72444.88281
651.527649,31678.20313
225.832092,34051.69531
152.954041,13598.22559
497.758911,91202.85938
906.4599,56606.875
1042.485596,124355.4688
1381.146606,118020.6797
6466.052246,136971.3281
495.328186,14632.5791
971.301758,67567.50781
544.235168,18473.20898
1556.541504,128376.5234
2390.696289,47202.71484
4486.040527,61249.63281
1066.68335,15345.64453
3909.422607,45629.09375
3172.757812,135902.4531
1401.414062,84865.6875
519.02179,63778.14063
1626.8302,153954.5938
658.302856,16804.13477
1476.783936,72718.30469
904.467957,16776.64648
501.29837,93663.02344
635.249451,29611.64258
451.177399,81826.07031
6080.690918,83678.67969
1488.479126,41617.83203
2485.881348,162997.7031
976.27655,40837.79688
10424.92383,140856.5625
2150.596436,45251.10938
